N,norm,method,descriptor_dim,collision_rate,n_distinct_pairs,mds_degenerate_rate,profile_tie_rate
3,per_graph,profile,6,0.00208,39492,,0.03422
3,per_graph,mds,3,0.02585,39492,0.00133,
3,minibatch,profile,6,0.0,39492,,0.03422
3,minibatch,mds,3,0.00084,39492,0.00133,
3,none,profile,6,0.0,39492,,0.03422
3,none,mds,3,0.00084,39492,0.00133,
3,hybrid,profile,6,0.0,39492,,0.03422
3,hybrid,mds,3,0.00046,39492,0.00133,
4,per_graph,profile,12,0.0,39915,,0.05525
4,per_graph,mds,4,0.00155,39915,0.00667,
4,minibatch,profile,12,0.0,39915,,0.05525
4,minibatch,mds,4,0.0002,39915,0.00667,
4,none,profile,12,0.0,39915,,0.05525
4,none,mds,4,0.0002,39915,0.00667,
4,hybrid,profile,12,0.0,39915,,0.05525
4,hybrid,mds,4,0.00015,39915,0.00667,
8,per_graph,profile,56,0.0,40000,,0.14787
8,per_graph,mds,8,0.0,40000,0.12667,
8,minibatch,profile,56,0.0,40000,,0.14787
8,minibatch,mds,8,0.0,40000,0.12667,
8,none,profile,56,0.0,40000,,0.14787
8,none,mds,8,0.0,40000,0.12667,
8,hybrid,profile,56,0.0,40000,,0.14787
8,hybrid,mds,8,0.0,40000,0.12667,
16,per_graph,profile,240,0.0,40000,,0.30643
16,per_graph,mds,16,0.0,40000,0.904,
16,minibatch,profile,240,0.0,40000,,0.30643
16,minibatch,mds,16,0.0,40000,0.904,
16,none,profile,240,0.0,40000,,0.30643
16,none,mds,16,0.0,40000,0.904,
16,hybrid,profile,240,0.0,40000,,0.30643
16,hybrid,mds,16,0.0,40000,0.904,
17,per_graph,profile,272,0.0,40000,,0.3209
17,per_graph,mds,17,0.0,40000,0.946,
17,minibatch,profile,272,0.0,40000,,0.3209
17,minibatch,mds,17,0.0,40000,0.946,
17,none,profile,272,0.0,40000,,0.3209
17,none,mds,17,0.0,40000,0.946,
17,hybrid,profile,272,0.0,40000,,0.3209
17,hybrid,mds,17,0.0,40000,0.946,
